Date,Open,High,Low,Close,Volume,Stock,Ticker,Sector,Year,Month,Month_Name,Quarter,Daily_return,Volatility_30D
2020-05-27,744.237937842416,751.0260461210765,734.4649471966138,747.7523193359375,4308340,Dr Reddys,DRREDDY.NS,Pharma,2020,5,May,2,0.48391697821896784,2.103237554168255
2020-05-28,750.063203159275,753.1057956864693,739.9532370062936,748.6670532226562,3962810,Dr Reddys,DRREDDY.NS,Pharma,2020,5,May,2,0.12233113332649204,2.014578478139833
2020-05-29,747.174680855657,787.74936126313,745.1141592551768,784.0038452148438,9631120,Dr Reddys,DRREDDY.NS,Pharma,2020,5,May,2,4.719960874474083,2.1665424187335214
2020-06-01,785.2265976854038,788.0669695543384,758.9310611539312,761.3381958007812,6848855,Dr Reddys,DRREDDY.NS,Pharma,2020,6,June,2,-2.8910125316861657,2.2286084308906675
2020-06-02,767.3945733348303,771.6889229694231,748.3300774949054,750.1209716796875,7451040,Dr Reddys,DRREDDY.NS,Pharma,2020,6,June,2,-1.473356280160798,2.22320855840403
2020-06-03,756.5721301250645,768.3574530853069,753.19250335336,763.04248046875,3694130,Dr Reddys,DRREDDY.NS,Pharma,2020,6,June,2,1.722589992401935,2.2064883556219974
2020-06-04,762.5609819332943,781.2596462244803,761.9351621844844,770.0712890625,5997250,Dr Reddys,DRREDDY.NS,Pharma,2020,6,June,2,0.9211556071468063,2.0558056984250372
2020-06-05,774.0287080961444,779.9117318705155,768.8004179827954,775.0781860351562,3855025,Dr Reddys,DRREDDY.NS,Pharma,2020,6,June,2,0.6501861637708606,2.050858000358694
2020-06-08,777.0038608170456,777.0038608170456,759.1140767607951,764.0438842773438,3559990,Dr Reddys,DRREDDY.NS,Pharma,2020,6,June,2,-1.4236372480378345,2.0631473262494624
2020-06-09,756.8032436933448,797.6282767839803,756.8032436933448,794.1234741210938,11375810,Dr Reddys,DRREDDY.NS,Pharma,2020,6,June,2,3.9368929537601405,2.1826483910420222
2020-06-10,798.2058769620298,806.8715619953932,787.1715501964228,791.9473266601562,7769840,Dr Reddys,DRREDDY.NS,Pharma,2020,6,June,2,-0.2740313731874,2.1801670948594234
2020-06-11,792.0436234275583,794.9226060582918,777.4082906298415,781.375244140625,4137580,Dr Reddys,DRREDDY.NS,Pharma,2020,6,June,2,-1.3349476870029298,2.190672785503187
2020-06-12,768.7425198167316,777.331159507854,766.6242296414501,771.8140258789062,3911520,Dr Reddys,DRREDDY.NS,Pharma,2020,6,June,2,-1.22363977274893,2.1773593914174096
2020-06-15,779.5264653285401,794.7203275216202,762.6957985798721,772.6517333984375,6959575,Dr Reddys,DRREDDY.NS,Pharma,2020,6,June,2,0.1085374833111219,2.163421359085853
2020-06-16,782.8002674121312,785.6888292845008,761.1841843136446,771.3327026367188,3900130,Dr Reddys,DRREDDY.NS,Pharma,2020,6,June,2,-0.17071478710299903,2.1639291748018983
2020-06-17,771.332649708056,778.5155021263131,764.8911548239682,767.4330444335938,3186815,Dr Reddys,DRREDDY.NS,Pharma,2020,6,June,2,-0.5055740784481788,2.104492007946288
2020-06-18,772.2088534027594,780.3834738819206,768.7426027550104,771.6311645507812,3614150,Dr Reddys,DRREDDY.NS,Pharma,2020,6,June,2,0.5470340569301291,2.1048619073544224
